"Zhmak","Kirilenko"
"B.POLII","DKI JAKARTA"
"Michael Ba","Herbst"
"Meuer","GERMANY"
"Grainger","Lall"
"Dhondy","England Ladies"
"A. DJAJANE","Indonesia"
"A. LEVY","MOUIEL"
"KATZ","USA"
"Sanborn","Dinkin"
"von Arnim","Zia"
"Lewaciak","Consus"
"Gosney","Nagy"
"K BERTHEAU","SWEDEN"
"Z.Nagy","Haughie"
"BYKOV","Tuszynski"
"Deutsch","DEUTSCH"
"Spiljak","Croatia"
"Igla","AGH Krakow 1"
"Sokolow","STEINER"
"Kruszewski","Warsow 2"
"PEREZ Mois","FRANCE"
"Allison","USA 2"
"MONSEGUR","ARGENTINA"
"MINA","REGGIO EMILIA"
"Sylvan","BK Hercules SWE"
"Malik","Pakistan"
"HACKETT","Germany"
"Teylouni","4 TREFLES1"
"T.Terraneo","Austria"
"SAURER","Austria"
"KNAP.A","SPAIN"
"Sigurjonsd","Iceland"
"Argelazi","Israel U25"
"Angelini","TC Parioli"
"M Kwieliel","Mixed"
"ROSEN Anne","ENGLAND"
"M.Sumampou","WEST JAVA"
"El Kourdy","EGYPT"
"Fallenius","Moss"
"Kridsadayu","Thailand"
"Chassagne","Vinay"
"Brink S","Netherlands"
"MOSSOP","ENGLAND"
"Allfrey","EBU"
"Engel","BCOB I"
"Groman","Germany"
"Avon","Serf"
" J P","Chagas"
"Fred","Aranha"
"Fukuda","Japan"
"Krogulska","Team 1"
"DARA","CUPER"
"LENGY","Bareket Israeli NC"
"Zeligman","Markowitz"
"Hong","NCCU"
"JANSMA","Het Witte Huis"
"Inda","Iceland"
"G Bilski","Burke"
"Gjaldbaek","Denmark"
"Nunes","Team 2"
"Ahmady","Wadi Degla"
"Lesniewski","Rugin"
"C.Dixon","Waterlow"
"Jie","China"
"Mc Leish P","Mc. Leish"
"Forsyth","McMahon"
"Rees T","Wales"
"Gu Ling","China"
"Mc Intosh","England"
"JAGNIEWSKI","BURAS"
"A.Bach","New Zealand"
"versace","TC PARIOLI ITA"
"KUSHARI","India"
"Williams J","Netherlands Blue "
"Grosset","FRANCE A"
"FREDIN","MAHAFFEY"
"Szegedi","Hungary"
"GROMOELLER","BAMBERGER"
"Venkatesh","Texan Aces"
"SMacdonald","Scotland"
"DUGUET MIC","ALAIN LEVY"
"FANTONI","Monaco"
"ABATE","ASB R. EMILIA"
"SCHAFFER","DENMARK"
"Prokhorov","Gladysh"
"West","POLAND"
"Mroczkowsk","EW"
"Kurka","CZECH"
"Steel","SCOTLAND"
"Johanes","Syabas Gabrial-UI"
"Di Bello","BCAT - ITALY"
"FELDMAN","MELTZER"
"Fu","CHINA SMEG"
"C D Ovidio","France"
"Gloyer A","Austria"
"U. Schreck","Alizee"
"Bonavoglia","Tennis RM- Lanciano"
"Stepinski",""
"R Goldenfi","Team 1"
"Glubok","Beatty"
"Krekorian","Casen"
"SVENDSEN","HELGENESS"
"AJAY KHARE","Sunil Machar"
"BIRMAN","ISRMANY"
"Cohler","Mahaffee"
"Pararo","Italy"
"KO Kopstad","Vestfold 1"
"D. Chen","Yer Bros"
"Niu Dun","Sheng Yu Tian"
"Wladow E","Germany"
"Egil Homme","Norway"
"N SMITH","ENGLAND"
"S Hans","Australia"
"M. Sun","CHINA"
"GROMOV","RUCH WROCLAW"
"K.R","Chennai Online"
"Wang Lin L","China"
"Tedd","Wales"
"Shen SY","Heng Sha"
"Li Rui","Sanchen"
"Kuczynski","JALOWKA"
"Schroeder","Germany"
"WIJS","NETHERLANDS"
"BOCCHI","ALLEGRA"
"Mauberquez","Neve"
"Smith N","ENG"
"Bakkeren","Modalfa"
"Nunes","Monaco"
"W.K.Lai","Hong Kong"
"Sandqvist","De Botton"
"JANSMA Jan","JANSMA"
"CHUBAROVA ","RUSSIA"
"de Wijs","NETHERLANDS"
"Wojcicki M","UNIA"
"GHIGHECI O","ROMANIA"
"","BERTHEAU"
"Nahmias","Bergheimer"
"VERHEES Jr","NED 't Onstein"
"Kania M.","Ckis Skawia"
"Huang XD","Taiwan Longkatong"
"PReynolds","Canberra"
"DEHAYE","DEHAYE"
"Tania","New Zealand 1"
"Duboin","Lavazza"
"Bathurst","Kranyak"
"Fantoni","Zimmmermann"
"Levin","Nickell"
"R Klinger","HAUGHIE"
"Rosenberg","Narasimhan"
"Thomas A","Wales"
"Lambrinos A","GRE"
"Stuurman","Netherlands Blue"
"Kwiecien","UNIA"
"REYNOLDS P","SOUTH AFRICA"
"paoluzi","Italy"
"Atabey Y","TUR"
"Shang JG","Shanghai Qiaoxie"
"Cliff Bishop","USA"
"Brink","Netherlands"
"PASMAN","Netherlands"
"Tirayoh J","Sulut Perjuangan"
"CAITI","PATANE'"
"F BAKKEREN","NED AUT"
"Maj","Team 2"
"P.Branco","BRAZIL"
"MikeGamble","Maksymetz"
"Justin","De Botton"
"H.Samahati","SOUTH SULAWESI"
"Gaddi","Reggio Emilia"
"Hoffman","HOFFMAN"
"BOCCHI","G.S. Allegra"
"HAEUSLER","DEUTSCHLAND"
"VANDERVORS","BELGIUM"
"Fitzpatrick","NIreland"
"Palmer","Central Districts"
"goleb","Vytas"
"Cohler","Fleisher"
"Leung CM","Hong Kong"
"SAXE","BROD"
"Gromov","Gromov"
"Millar","Queensland"
"Tignec","Polytech Paris"
"Farina","ITALY"
"Gu Ling","China Lady"
"Tan Siew C","Singapore"
"JOHANSEN","HEIMDAL BK"
"Wojcicki","UNIA LESZNO"
"CIMA","ANGELINI"
"SHKEDY","ISRAEL"
"E.Manoppo","North Celebes"
"Li Jian We","GZ Orange Team"
"Hirata","JAPAN Yamada"
"VAN PROOIJ","BC'T ONSTEN"
"C.K.Shen","Yeh Brothers"
"RUSEV","BULGARIA"
"Dubinin","Sygnity AZS"
"H.Miura","Japan-Czech"
"Bakhshi","Grue"
"suhas","Kabra"
"Machno","Poland U20"
"Levin","Welland"
"JChodorow","RAG"
"Duboin","Cayne"
"kyosuke","NCCU"
"Nunes","Parioli Angelini"
"Lavee","Canada"
"KRUPOWICZ","CHALLENGER"
"G. Stout","New Zealand"
"ALTMAN ","Serbia"
"Levy Regis","Switserland"
"lutostansk","Poland"
"NADAR","INDIA"
"Wang WM","Qi Zhong Club"
"GRECO","DIAMOND"
"Bolognini","Iti du Bridge"
"prakash","Kabra"
"DOBBELS Ti","DEHAYE"
"Wyszynski","MEGA-TECH"
"Juanita Chambers","Wei-Sender"
"J Pszczola","Beauchamp"
"Xu","Evertrust"
"Bessis T","FRA"
"F Karwur","PUTRA NASIONAL"
"BOCCHI","O'Rourke"
"Nab","Netherlands Girls"
"Grinberg","ISRAEL"
"A K JHA","Arun Jain"
"RINALDI","VILLA FABBRICHE"
"Weigkricht T","AUT"
"Xu JZ","Anhui Ladies"
"S. Lusk","Australia"
"Trouwborst","Netherlands"
"Askgaard","DENMARK"
"Browne","Rothfield"
"Madala","Italy"
"Zhang YZ","Shiji Changda"
"ASH","Scotland"
"Hackett Ja","England"
"Koumas M","Cyprus"
"S Lusk","Australia"
"J Armstrong","Armstrong"
"MARTEL","Fleisher"
"Bindohu","NTHU A"
"Wang Weife","CHINA Women"
"ROHOWSKY","DEUTSCHLAND"
"CHEN Chih-","CHINESE TAIPEI"
"ZHANG.Y","CHINA"
"DJAJANEGAR","Indonesia"
"Birman","Israel U 25"
"Guo ZH","Taiwan Wanghong"
"J Newman","NEWMAN"
"Whyte","New Zealand"
"Cem Tokay","Team Assael"
"Olanski","SYGNITY"
"Lasut Heng","Sulut Prasetya"
"Tokay","Team Assael"
"D. BAXTER","Canada"
"Bareket","Israel"
"LUSK","AUSTRALIA"
"Klaver","NETHERLANDS"
"JY.Shih","Yer Bros"
"C.Y.Chang","China"
"Snehashish","Indian Railways A"
"I HERBST","ISRAEL"
"Szalay","Szalay"
"Fruewirth","Oz Players"
"Coffey","NIBU"
"HUANG","CHINESE TAIPEI"
"J Thompson","HOFFMAN"
"BAKKEREN Ton","Netherlands"
"Lindkvist M","Norway"
"Cichocki","Team 1"
"Westra","BC 't Onstein 2"
"Georgop","Efthimiou"
"CULLIN","Sweden"
"VillasBoas","Mane"
"DAEHR","GERMANY"
"Lanzarott","Schwartz"
"Prescott","OzOne"
"D.Schaltz","Schaltz"
"Zmudzinski","Russia"
"Panto","Waterlow"
"Rodrigues","Brum"
"LING","China Hong Kong"
"Hirst","England"
"Pauly","BC Darmstadt Alert"
"Laltu","DHAMPUR SUGAR MILLS"
"Collins","Collins"
"Ja Hackett","England"
"Tarnovski","Israel U25"
"Zhang YL","Beijing"
"Norgaard Tom","Denmark"
"Nystrom F","Sweden"
"West","DKI JAKARTA"
"HANAYAMA","JAPAN"
"Somers K","SQUEEZE"
"Verbeek","NETH. RED"
"mcgann","Holland"
"ruokku","CCUB"
"BATES","USA 2"
"Hans","New South Wales"
"Boyd","Robinson"
"Januske","SA"
"D.Fischer","Austria"
"SCHALTZ","SCHALTZ "
"Walker","Sweden"
"HAMMAN Bob","USA 2"
"Lall","Grue"
"BALICKI","Henner-Welland"
"Sikora","AWAY"
"GUR","TURKEY"
"P.Lewis","USA / MORI"
"Zhang W","Suzhou"
"TESHOME","ENGLAND"
"Steiner","STEINER"
"GOLD","ENGLAND"
"GHANEM","JORDAN"
"Robson","A Team"
"ZhangYalan","Huayuan"
"Hoderova","Czech Rep"
"GERGOV","BULGARIA"
"Bocchi","Italy 1"
"Dong Yongl","Huayuan"
"Apteker","South Sweden"
"JiangWeiMi","Ning Bo"
"Johansson","Fanfulla LO"
"Balicki","AVALANCHE"
"Myles","Scotland"
"CATUCCI","STAR BR. ROMA"
"P. Brum","Branco"
"Fu Zhong","Ke Bi Ya Club"
"Olanski","GP"
"JUURI-OJA J","Finland"
"Oja","ESTONIA"
"Machno","Poland"
"De Falco","CALANDRA"
"Happer D","ENG"
"EFRAIMSSON","SWEDEN"
"Gosney","Chan"
"Lindquist","Norway"
"Coenraets","BCOB1"
"M BRANCO","CHAGAS"
"CHAMBERS","LYNCH"
"Mariani C","Italy"
"Dv Skipper","New Zealand"
"Chubarova","Team 2"
"Fucik","TERRANEO"
"Ino","JAPAN D-MaTK"
"Cleme","Bessis"
"Krzeminski","Vytas"
"Andrea","France A"
"North","POLAND"
"Hartono B","Djarum 1"
"B_MULLER","NETHERLANDS"
"Van Vliet","Guadeloupe"
"BANERJEE","TEXAN ACES"
"SANDQUIST","De Botton"
"TARNOVSKI","Israel"
"SCHALTZ D.","SCHALTZ"
"K Sasahira","SARA"
"Kranyak","SULGROVE"
"CATELLANI M","Monaco"
"Yang LX","Shanghai Qizhong"
"Nehmert","GERMANY"
"HERBST O","ISRMANY"
"Hirst","Hirst"
"Carvalho","Sofia Pessoa"
"Bennett","Dhondy"
"KARAMANLIS","GREECE"
"Jacek Pszczola","Gromov"
"Saurer","Alizee"
"Kovachev","Dawson"
"Gao Fei","Zhejiang Jingfan"
"FLEISHER","Fleisher"
"Ferguson","N Ireland"
"MARINA B.","Romania 2"
"CharlieLee","China Hongkong"
"Gou CC","Sheng Tao Sha"
"Olanski","SYGNITY AZS PWR"
"Kaya","YILANKIRAN"
"Balderson","Miner"
"Grenthe P","Naels"
"McManus","MILNE"
"Zegilewicz K","POL"
"Sontag","Meltzer"
"Abe","YAMADA"
"Lai","Guang Zhou"
"North","Belgium"
"Ricciarell","Reggio E-Fornaciari"
"CORMACK","New Zealand"
"KILANI","FRANCE"
"DALAL","INDIA"
"THORVALDSS","ICELAND"
"SADEK","Katz"
"Kwiecien","BURAS"
"Brown","England"
"Lema","Ayacucho"
"Nurhalim","WEST JAVA"
"Brown2","NTHU A"
"Burns","N Ireland"
"Said","LEVINE"
"Roger","USA A"
"EBER","SOUTH AFRICA"
"Siderov","42"
"Thorvaldss","ICELAND"
"LEVITINA","USA 1"
"S. Schou","NC- Denmark"
"D CLERKIN","USA2"
"De Tessier","MEYER"
"GROMOV","Bridge Club Real"
"Bekkouche","Denmark"
"Puurtinen","Uskali"
"Ag Madala","Mooney"
"TSONCHEV","BULGARIA"
"RAJU T","SUNIL MACHAR"
"Richman","OzOne"
"Ludewig","Ludewig"
"Kotorowicz","Poland"
"MAJUMDER","INDIA"
"niemanis","Latvia"
"Teltscher","President's Team"
"Lo Presti","Villa Fabbriche"
"pritish ","Indian Railways A"
"Dolarevic","BOSNIA"
"Moss","Moss"
"UZUMCU","TURKEY"
"CANONNE.M","FRANCE"
"Brown","Australia"
"Willenken","HENNER-WELLAND"
"MULIAR","Austria"
"B SATYA","FORMIDABLES"
"Lauria","Angelini TCP - Bove"
"Onstot","USA/Kasle"
"Clark","Cooper"
"Fajri","West Sumatra"
"jonsson","Iceland"
"BALICKI","Poland"
"ARUN BAPAT","Tolani Shipping Ltd"
"Lev","Altshuler"
"S Auken","Germany"
"Vijay Sing","Khandelwal"
"Weichsel","Strul"
"CHENG.Y","CH.TAIPEI"
"Prescott","Otvosi"
"ERICHSEN E","TROLL"
"Aronov","De Knijff NPC"
"Radohleb","8-5-0-0"
"Bhabesh S","C.V.Rao"
"Stworzewic","Gary"
"Erdeova J","Czech Rep."
"Krupowicz","Others"
"LIN R Q","Beijing Xinyuan"
"Pohl","Chass"
"Pradeep S.","Pankaj Mehta"
"F. Karwur","Djarum 1"
"Kowalski","Jassem"
"Fallenius","Sweden 1"
"Naels","Naels"
"Hackett","England"
"Angelini","ITALY-ANGELINI"
"panadero","Passarinho"
"H. CAMPBEL","Northern Ireland"
"Volozhenin","Russia"
"Gitelman","Canada"
"Yu CZ","Ning Bo"
"Levy","france"
"D. Chen","Nan-Yuan"
"F Beale","Australia"
"D_Kowalski","KALITA"
"Campbell","NIreland"
"ROSENBERG","USA 2"
"S_De_Roos","BELGIUM"
"LUND","SVEINDAL"
"Cohen","Schwartz"
"BULENT","Turkey"
"Jimmy Meht","Kabra"
"TARDY","ELLIA"
"Poroshin","FAKEL"
"GHIGHECI","Romania"
"Rognved","Bergen Akadem BK"
"ANDONOV","Rxdkov"
"N V Jole","Beauchamp"
"Jonsson T","Iceland"
"KAZ08833","Okay"
"R Bates","Meltzer"
"Lu Ji Qun","Yalu Group"
"J. AUKEN","Denmark"
"S. PAOLUZI","Italy"
"Uttam Gupt","Wellknit"
"Haraldsson","REYKJAVIKUR"
"Burgess","Richman"
"Cerek","YILANKIRAN"
"Quinn","WESTHEIMER"
"Mayer","Reid (NZ)"
"Khven","Team 1"
"Wademark","Sweden"
"Libbrecht","Allix"
"BELKOUCH","MOROCCO"
"Parker","Rogoff"
"North","BULGARIA"
"Chechelash","Ao"
"McGarry","SULGROVE"
"Chmurski B","POLAND"
"FREEMAN Dick","USA 2"
"Stansby","USA2"
"M. Cohen","Cohen"
"Delmonte","Horwitz"
"ARONOV","K1 BULGARIA"
"LI","CHINA"
"PENTON","Wales"
"Laanamae","Tallinn (EST)"
"Toffier P","BESSIS"
"A Amano","Japan 2"
"I Rubenis","Latvia"
"Snashall","Lusk"
"KIRSTAN Ma","DENMARK"
"Garner","Jacobs"
"Manoppo E.","Sulut Prasetya"
"KOUKOUSELI","GREECE"
"Allfrey","Allfrey"
"magnani","SG del Sannio"
"PASQUINI","VENETINA"
"RIMSTEDT S","SWEDEN"
"Ram Agaraw","Tolani Shipping"
"Seale","England"
"Ao","Cole"
"Hackett","Europe"
"COENRAETS","BCOB - BELGIUM"
"Kania","CKIS SKAWINA"
"Markey","Australia"
"SPRUNG Jo ","USA 2"
"ANGELINI F","Italy"
"Angus","Oxford"
"Schollaard","Netherlands"
"MULTON","NC FRANCE"
"Ju Hackett","England"
"McKellar","McKellar"
"GULLOTTA","GAGLIARDI - RM"
"de Botton","de Botton"
"South","QUINN"
"Tuszynski","JASSEM"
"Forth","Czech_Rep."
"Teshome","England"
"Finton Lew","Tolani Shipping"
"F. Herrero","Argentina"
"Sontag","USA 1"
"Fraser","Maksymetz"
"Shi ZJ","Dong Feng"
"Versace","Cayne"
"KHALIL Lil","EGYPT"
"Stuurman","Netherland White"
"Rossano","GS Idea Br. TO"
"Crouch","Liggins"
"Armstrong","Holland"
"Bug","Shining Pig"
"MULTON","ZIMMERMANN-ANGELINI"
"H Dhondy","Team 1"
"Brogeland","Ventin"
"Kovachev","Bulgaria"
"MOLSON","USA"
"LIU","CHINA"
"CUMPSTONE","Canada"
"nunes","TC Parioli ITA"
"Kalita","Team 2"
"Narkiewicz","BURAS"
"Combescure","Bessis"
"Luo","Huang"
"Gawrys","DWORAN"
"Stubb S","Finland"
"CRONIER","ZALESKI"
"Gotard T","Germany"
"MIKIC","Slovenia"
"Wrang","De Knijff"
"Januszke","SA"
"ZAENUL","KOTA MATARAM"
"Mejane","Mejane"
"PASMAN","NETHERLANDS-1"
"REYGADAS","MEXICO"
"de Botton","Young Chelsea"
"GOLD. D","ENGLAND"
"","Wales"
"Hugony","BC MI - D'AVOSSA"
"B.Pollii","DKI JAYA"
"Penfold","Senior"
"V. Aronov","Bulgaria"
"HAYATI","West Java"
"Janice Sea","USA 1"
"Croci","Fanfulla LO"
"P.Hackett","England and Pharon"
"Stamatov","Bulgaria"
"Lauria","Eidi"
"Dai JM","Shouchuang"
"de Wijs","Lombard 1"
"Combescure","Cronier"
"Wang RG","Suzhou Qiaoxie"
"LAURIA","ANGELINI BRIDGE TEA"
"West","Milner"
"Hermond","West Kalimantan"
"Smolski","Bermuda"
"Stavrinos ","Levi"
"SEAMON","JACOBS"
"Dondivic","Croatia"
"","JACOBS"
"Dekker","Netherlands Girls"
"Xu Zhong","SANY"
"Paulissen","Westra"
"D'Ovidio C","France"
"JM Dai","Yeh Bros II"
"S.K. Chari","Tricks"
"Kannavos P","GRE"
"Marinovski","HAUGE"
"Lindqvist.","Norway"
"DeWijs","Net white"
"WOOLDRIDGE","USA 2 "
"GAROZZO","JACOBS"
"S Nina","DKI Jaya"
"WANG Weimi","CHINA"
"Kowalczyk","Poland"
"de Pagter","Netherlands"
"Lorrain","Defranchi"
"Yamada","Okay"
"A.Walsh","Chadwick"
"Stansby","USA1"
"Vasilev","Quantum"
"Madala","LAVAZZA"
"Sjoberg","SWEDEN"
"Tesla M.","Croatia"
"SENIOR","ENGLAND"
"chevylove","FJU"
"Sver","CROATIA"
"alok sadhu","C.V.RAO"
"Asbi T","DKI JAKARTA"
"Steel L","Scotland"
"kwiecien","Altschuler"
"Furuta","Furuta"
"BATOV","BULGARIA"
"MIETI","San Marino"
"Neill","Burke"
"HAMMAN","Nickell"
"Outred","Scotland"
"BRGULJAN","Croatia"
"D. Lilley","Haughie"
"Bjorneboe","Kopenhagen"
"MEYER","PILON"
"Boegem","Netherlands"
"Goldstein","Sher"
"SkySoldier","Dead Pig Nerds"
"Baher","El Shams Club"
"Freddio","Bo - Tamburrini"
"Garner","Welland"
"Gitelman","DIAMOND"
"jacobs","JACOBS"
"Hou Xue","San Chen"
"LEBEL","Chemla"
"Gates","bernstein"
"Pong","NTOU"
"P BERTHEAU","SWEDEN"
"Santos","Spain"
"Drew Casen","Onstott"
"Toszeghi","DUROS"
"Ling Gu","China"
"Garvey","Holders"
"Komodo","Djarum 2"
"VERSACE Alfredo","ITALY"
"ElAhmady","Katz"
"lorenzini.","France"
"Imakura","JAPAN"
"South","Welland"
"Angelini","Angelini-TC Parioli"
"Sementa","Torino-Allegra"
"Karaivanov","AUTBUL"
"HAUGHIE","Australia"
"NEILL","AUSTRALIA"
"KWIECIEN","Poland RUCH AZS"
"COENRAETS","BCOB "
"Zapadinski","Team 2"
"Figueiredo","D'Orsi"
"Lindkvist","HENNER"
"GITELMAN","Rubin"
"WANG Y","BEIJING TRINERGY"
"Ruso","Croatia"
"CAPUTO","BELGIUM"
"Sementa A","Spain"
"MUKHERJEE","TEXAN ACES"
"GRAIZER","ISRAEL"
"Bakhshi","England"
"MADALA","Italy 1"
"Malaczynsk","Neill"
"H Lasut","Indonesia"
"Pepsi","Mixed"
"Lasut","Bhineka"
"MATHIEU","GUADELOUPE"
"Dumbovich","HUNGARY"
"B. Blancha","Milner"
"JASSEM","POLAND"
"Caldwell","Caldwell"
"Gotard","GOTARD"
"Branco","Chagas"
"Makoto Koh","Japan"
"D Jones","Wales"
"Ramondt V"," Netherlands"
"Binge","The Skilled"
"Tobi Sokolow","Wei-Sender"
"Camacho","Branco"
"Tian ZQ","Pudong Pufa"
"Millington","New Zealand 2"
"South","SWITZERLAND"
"Smith Ron","Pavlicek"
"Z ENGEL","BELGIUM"
"WESTERBEEK","NETHERLANDS"
"manah","Tolani Shipping"
"J. Shih","DEPPO"
"Molson","Fireman"
"Shi HJ","China SMEG"
"Lebel","CHEMLA"
"Carrasco","Lantaron"
"South","Kapadokya"
"rosenberg","Cohen"
"Callaghan","NZ/AUS/ENG"
"PESSOA","PORTUGAL"
"SUMMERS-CA","CANADA"
"Wong Rui","Shenzhen"
"Kristina W","Djarum 2"
"Townsend T","ENG"
"jorgensson","Iceland"
"Chagas","Amaral"
"Cabanes","DELFOUR"
"MRice","USA2"
"SYKES S.","Bermuda"
"Campos","Campos"
"Griffin","Bernstein"
"Bessis T.","BESSIS"
"Fordham","Wiltshire"
"Artur Malinowski","Spring Foursomes"
"Dianita","Budkin"
"P D'Arcy","Gruschow"
"Mazza","NBI - Savelli"
"PIKUS","NATIONAL TEAM"
"Bessis V.","Rocafort"
"C.J Chen","DEPPO"
"Rana Roy","Shre Cement"
"QUANTIN","LEVY"
"YQ LIU","CHINA"
"P BARDHAN","C.V.Rao"
"Pete","VIC"
"Welland","ZIA"
"ZMUDA","CKIS SKAWINA"
"Reistad","Norway"
"Serf","Serf"
"Levin","GORDON"
"Zhou YD","Jinrongjia"
"nawrocki","Poland"
"Hendra","Riau"
"S WIllard","France"
"Bates","USA 2"
"Violet Liu","Chinese Taipei"
"Kamal M.","Dhampur Sugar Mills"
"RADIN","USA1"
"Shi Miao","Beijing Copia"
"Angelini","Tennis Club Parioli"
"KORBEL","CANADA"
"Nieminen","Nieminen"
"Cichocki","CICHOCKI"
"Kay","EBU"
"Seamon","Berkowitz"
"Nakamura","Japan Senior"
"DE ROOS","BARRACUDA"
"BROGELAND","TROLL"
"JANKOVA  J","CZECH REPUBLIC"
"Maripuu","ESTONIA"
"SHUDNEV","KIRILENKO"
"Chen CT","Chinese Taipei"
"Hanayama","HANA"
"LEVENKO","ESTONIA"
"Liu Shu","China"
"Balicki","SYGNITY AZS PWR"
"Fu Zhong","Beijing Copia"
"SUN","CHINA"
"Asbi T","DKI Jakarta"
"Jackson","Weinstein"
"Shimizu","Japan HANA"
"Juanita Chambe
"Clacey","England U25"
"Birman A.","Lengy"
"Sridhar","Venkatesh"
"REESS","FRANCE"
"M. Bessis","Zimmermann"
"D Batjarga","Mongolia"
"BRINK ","VITAS"
"F.Karwur","Djarum 1"
"Gitelman","Spector"
"GROTHEIM. ","NORWAY"
"Courtney","Wyer"
"Okay","Norby"
"JeffSmith","L'Ecuyer"
"Carroll","Holders"
"JONSSON","Iceland"
"PAGTER","DUTCH JUNIORS"
"LEVIN","Fleisher"
"Sun Ming","Ke Bi Ya"
"J. Levin","Narasimhan"
"Di Bello S","Lucignano-V.Fabbr."
"Wang","Cole"
"NIKITINA A","RUSSIA"
"Martel","STRUL"
"R. F. Tewd","PAPUA"
"Jim Green","Carruthers"
"Szochan","AWAY"
"ASKALANI","EGYPT"
"MAHMOOD Zi","USA 2"
"Dumbovich","Hungary"
"Smith","Deutsch"
"Drijver","Changes"
"Serpoi","ROMANIA"
"Martinovic","MOO YORK NIX"
"RAVENNA","ARGENTINA"
"T Helness","Zimmermann"
"TUNDAL Ulf","Norway"
"DE ROOS DA","BARRACUDA"
"Eisenberg ","IZISEL"
"Miyakuni","Japan 2"
"Holland","Waterlow"
"FRITSCHE","DEUTSCHLAND"
"Triandafil","Efthimiou"
"Bilski","Noble"
"MANARA","ITALY"
"Elahmady","Schneider"
"Paoluzi","Italy"
"Upmark","BK S.T ERIK"
"HERBST","Israel Blue"
"DENNING","Wales"
"HUIBAN","Ellia"
"Sugeng T","Bisma Semarang"
"VALDES","VENETINA"
"Zhuang","China"
"Ravennna","ARGENTINA"
"Tia","Geologi Timah A"
"Stockdale","Team 1"
"Wu MQ","Taiwan Wanghong"
"Jonsson","REYKJAVIKUR"
"Simpson","Spring 4s"
"WENNING","Germany"
"KARADENIZ","KUBAC"
"Pyatkov","Team 2"
"Shen YX","Jiang Su"
"Kotorowicz","Poland A"
"Rosenberg D.","Team 1"
"Demuy","Brifman"
"Fantoni","T.C.P. Angelini"
"ZMUDZINSKI","Poland "
"Kaminski","Kaminsky"
"HENG","SINGAPORE"
"Davis","Republic Of Ireland"
"HERBST I","ISRMANY"
"Sanborn","McKellar"
"Adam Meredith","Great Britain"
"Saeed","Pakistan"
"SRIDHAR","TexanAces"
"Grunt","GRUNT"
"SMIRNOV","GERMANY"
"banar","Rumania"
"Aker","TEXAN AND TURKS"
"Lasut H","Bhineka"
"QUANTIN","ZIMMERMANN"
"JennerO'Sh","McManus"
"Neve","France"
"Versace A.","Italy"
"DELLA MONT","Germany"
"ROHOWSKY","GERMANY"
"Jorgensen","Iceland"
"Lilley","Lilley"
"El Ahmady","Sadek"
"POLITIS","CYPRUS"
"R Pinto","Portugal"
"Ao","Ao"
"Sigmund M","CZR"
"Francis","Nixon"
"GONG Fang-","CHI TAIPEI"
"KATZ","USA 1"
"Jacky Ip","China Hongkong"
"Jiang Tong","Zhong Jian"
"Macskasy","GAMAX"
"VILLANI ","BRIDGE BOLOGNA"
"Vinay","Il Fante di Fiori"
"Bertens","Netherlands Red"
"DAI","CHINA"
"Zhang YuL","Sichuan Ladies"
"Schollaard","Lomard 1"
"COMBESCURE","CRONIER"
"Elahmady","Katz"
"ROTARU","Romania"
"de Livera","Horwitz"
"Johansson","Konga"
"Bakhshi","Team 1"
"Jingrang","Wu"
"SIMONSON F","REKSTAD"
"JU HACKETT","ENGLAND"
"Razvigorov","Slaveykov.bg"
"A O'Keeffe","ROI"
"Ikemoto Y.","Japan"
" A","Chagas"
"Del'Monte","OzOne-Del'Monte"
"N. Aydogdu","Burdur Turkey"
"J.Kasenda","Ind Bhineka"
"E-Ron Sch","Team 1"
"SCHWARTZ","SCHWARTZ"
"Yang ","China"
"Muller","BC 't Onstein 1"
"Jason H.","Europe"
"Bertens","Seligman"
"Malinowski","Crockfords"
"Mroczkowsk","Poland U20"
"GODED MERI","SPAIN"
"Krasnosels","Real"
"K.H.Huang","China"
"Mahmood","USA2"
"TUNDAL. U","ITALY"
"vmlal","DHAMPUR SUGAR MILLS"
"B_Hirst","ENGLAND"
"A Verhees","Netherland"
"NOSHY","EGYPT"
"J.TUEJE","DKI JAKARTA"
"G","Huan Qiu Shi Bao"
"Duboin","O'Rourke"
"WATTAR W.","Wael"
"ZAK","POLAND"
"B.Cohen","Welland"
"GUERRAOUI","Morocco"
"Dong Yongl","CHINA Women"
"SUCI","CENTRAL JAVA"
"Gruschow","Gruschow"
"Wold","Schneider"
"HERBST","RUCH WROCLAW"
"DUBOIN","G.S. Allegra"
"Karmarkar","India Blues"
"S Tredinni","Collins"
"Tedd","WALES"
"Herbst O","Israel"
"angus","England U25"
"Vicky M","Geologi Timah"
"Lair","Schwartz"
"Robles","Chile"
"TIFOUS","UCCLE"
"Bakkeren.T","NETHERLANDS"
"Elmroth","Sweden"
"Thomson","Rothfield"
"East","Pakistan"
"SHEN Chih-","YEOH BROS"
"Maloney","GREAT BRITAIN"
"Gromova","Russia"
"Weinstein","CAYNE"
"Nagasaka","Shimizu"
"BARONI","LAURIA"
"LANGELAND","NORDEN"
"Franco","S.GIORGIO SANNIO"
"Levy A.","Zimmermann"
"Landen","Gordon"
"HOBART","CANADA"
"Gupta","India National"
"Kautny","AUSTRIA LIONS"
"Preetish S","Indian Railways A"
"Li ZG","Kunshan Tingling"
"Nowosadski","EW"
